,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-288750.0,-165060.0,-60272.46005
TaxRateForCalcs,0.21,0.21,0.105927
NormalizedEBITDA,14770000.0,22350000.0,65065000.0
TotalUnusualItems,-1375000.0,-786000.0,-569000.0
TotalUnusualItemsExcludingGoodwill,-1375000.0,-786000.0,-569000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-20263000.0,-8410000.0,33458000.0
ReconciledDepreciation,19799000.0,19602000.0,19819000.0
ReconciledCostOfRevenue,217160000.0,229164000.0,289184000.0
EBITDA,13395000.0,21564000.0,64496000.0
EBIT,-6404000.0,1962000.0,44677000.0
NetInterestIncome,-6670000.0,-6329000.0,-6788000.0
InterestExpense,7387000.0,6800000.0,7255000.0
InterestIncome,717000.0,471000.0,467000.0
NormalizedIncome,-19176750.0,-7789060.0,33966727.53995
NetIncomeFromContinuingAndDiscontinuedOperation,-20263000.0,-8410000.0,33458000.0
TotalExpenses,389144000.0,400754000.0,460009000.0
TotalOperatingIncomeAsReported,-14291000.0,-9465000.0,25358000.0
DilutedAverageShares,225922000.0,222393000.0,258030000.0
BasicAverageShares,225922000.0,222393000.0,219921000.0
DilutedEPS,-0.09,-0.04,0.14
BasicEPS,-0.09,-0.04,0.15
DilutedNIAvailtoComStockholders,-20263000.0,-8410000.0,33458000.0
NetIncomeCommonStockholders,-20263000.0,-8410000.0,33458000.0
NetIncome,-20263000.0,-8410000.0,33458000.0
NetIncomeIncludingNoncontrollingInterests,-20263000.0,-8410000.0,33458000.0
NetIncomeContinuousOperations,-20263000.0,-8410000.0,33458000.0
TaxProvision,6472000.0,3572000.0,3964000.0
PretaxIncome,-13791000.0,-4838000.0,37422000.0
OtherIncomeExpense,5795000.0,10170000.0,18283000.0
OtherNonOperatingIncomeExpenses,7170000.0,10956000.0,18852000.0
SpecialIncomeCharges,-1375000.0,-786000.0,-569000.0
OtherSpecialCharges,,,0.0
WriteOff,,,0.0
ImpairmentOfCapitalAssets,1375000.0,786000.0,524000.0
RestructuringAndMergernAcquisition,0.0,0.0,45000.0
NetNonOperatingInterestIncomeExpense,-6670000.0,-6329000.0,-6788000.0
InterestExpenseNonOperating,7387000.0,6800000.0,7255000.0
InterestIncomeNonOperating,717000.0,471000.0,467000.0
OperatingIncome,-12916000.0,-8679000.0,25927000.0
OperatingExpense,155708000.0,155577000.0,154587000.0
OtherOperatingExpenses,56000.0,4000.0,8000.0
DepreciationAmortizationDepletionIncomeStatement,3523000.0,3589000.0,3581000.0
DepreciationAndAmortizationInIncomeStatement,3523000.0,3589000.0,3581000.0
Amortization,3523000.0,3589000.0,3581000.0
AmortizationOfIntangiblesIncomeStatement,3523000.0,3589000.0,3581000.0
ResearchAndDevelopment,79346000.0,81042000.0,77986000.0
SellingGeneralAndAdministration,72783000.0,70942000.0,73012000.0
SellingAndMarketingExpense,41624000.0,41707000.0,41373000.0
GeneralAndAdministrativeExpense,31159000.0,29235000.0,31639000.0
OtherGandA,31159000.0,29235000.0,31639000.0
GrossProfit,142792000.0,146898000.0,180514000.0
CostOfRevenue,233436000.0,245177000.0,305422000.0
TotalRevenue,376228000.0,392075000.0,485936000.0
OperatingRevenue,376228000.0,392075000.0,485936000.0
