,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-2940.0,-54600.0,-497280.0
TaxRateForCalcs,0.21,0.26,0.28
NormalizedEBITDA,8938000.0,14294000.0,15319000.0
TotalUnusualItems,-14000.0,-210000.0,-1776000.0
TotalUnusualItemsExcludingGoodwill,-14000.0,-210000.0,-1776000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-428000.0,5169000.0,4730000.0
ReconciledDepreciation,4683000.0,4944000.0,4830000.0
ReconciledCostOfRevenue,7236000.0,5228000.0,5060000.0
EBITDA,8924000.0,14084000.0,13543000.0
EBIT,2717000.0,9140000.0,8713000.0
NetInterestIncome,-2362000.0,-2163000.0,-2137000.0
InterestExpense,2362000.0,2163000.0,2137000.0
NormalizedIncome,-416940.0,5324400.0,6008720.0
NetIncomeFromContinuingAndDiscontinuedOperation,-428000.0,5169000.0,4730000.0
TotalExpenses,41264000.0,37227000.0,35554000.0
TotalOperatingIncomeAsReported,1792000.0,8686000.0,8373000.0
DilutedAverageShares,46473000.0,45780000.0,45634000.0
BasicAverageShares,46002000.0,45377000.0,44930000.0
DilutedEPS,-0.01,0.11,0.1
BasicEPS,-0.01,0.11,0.11
DilutedNIAvailtoComStockholders,-428000.0,5169000.0,4730000.0
NetIncomeCommonStockholders,-428000.0,5169000.0,4730000.0
NetIncome,-428000.0,5169000.0,4730000.0
NetIncomeIncludingNoncontrollingInterests,-428000.0,5169000.0,4730000.0
NetIncomeContinuousOperations,-428000.0,5169000.0,4730000.0
TaxProvision,783000.0,1808000.0,1846000.0
PretaxIncome,355000.0,6977000.0,6576000.0
OtherIncomeExpense,911000.0,244000.0,-1436000.0
OtherNonOperatingIncomeExpenses,925000.0,454000.0,340000.0
SpecialIncomeCharges,-14000.0,-210000.0,-1776000.0
RestructuringAndMergernAcquisition,14000.0,210000.0,1776000.0
NetNonOperatingInterestIncomeExpense,-2362000.0,-2163000.0,-2137000.0
TotalOtherFinanceCost,,,1844000.0
InterestExpenseNonOperating,2362000.0,2163000.0,2137000.0
OperatingIncome,1806000.0,8896000.0,10149000.0
OperatingExpense,35552000.0,31329000.0,30485000.0
DepreciationAmortizationDepletionIncomeStatement,6207000.0,4274000.0,4821000.0
DepreciationAndAmortizationInIncomeStatement,6207000.0,4274000.0,4821000.0
Amortization,6207000.0,4274000.0,4821000.0
AmortizationOfIntangiblesIncomeStatement,6207000.0,4274000.0,4821000.0
ResearchAndDevelopment,7461000.0,7373000.0,7670000.0
SellingGeneralAndAdministration,21884000.0,19682000.0,17994000.0
SellingAndMarketingExpense,10296000.0,9623000.0,9515000.0
GeneralAndAdministrativeExpense,11588000.0,10059000.0,8479000.0
OtherGandA,11588000.0,10059000.0,8479000.0
SalariesAndWages,,1739000.0,
GrossProfit,37358000.0,40225000.0,40634000.0
CostOfRevenue,5712000.0,5898000.0,5069000.0
TotalRevenue,43070000.0,46123000.0,45703000.0
OperatingRevenue,43070000.0,46123000.0,45703000.0
