,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0
TaxRateForCalcs,0.21,0.21,0.21
NormalizedEBITDA,-26531000.0,-20396000.0,-4014000.0
TotalUnusualItems,0.0,,0.0
TotalUnusualItemsExcludingGoodwill,0.0,,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,-31644000.0,-25016000.0,-7788000.0
ReconciledDepreciation,1829000.0,1409000.0,1018000.0
ReconciledCostOfRevenue,33164000.0,30066000.0,28604000.0
EBITDA,-26531000.0,-20396000.0,-4014000.0
EBIT,-28360000.0,-21805000.0,-5032000.0
NetInterestIncome,-1336000.0,-1012000.0,170000.0
InterestExpense,2958000.0,2939000.0,1992000.0
InterestIncome,2179000.0,2479000.0,
NormalizedIncome,-31644000.0,-25016000.0,-7788000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-31644000.0,-25016000.0,-7788000.0
TotalExpenses,90747000.0,78562000.0,72889000.0
TotalOperatingIncomeAsReported,-29529000.0,-23569000.0,-5536000.0
DilutedAverageShares,19858000.0,19776000.0,19642000.0
BasicAverageShares,19858000.0,19776000.0,19642000.0
DilutedEPS,-1.59,-1.26,-0.4
BasicEPS,-1.59,-1.26,-0.4
DilutedNIAvailtoComStockholders,-31644000.0,-25016000.0,-7788000.0
NetIncomeCommonStockholders,-31644000.0,-25016000.0,-7788000.0
NetIncome,-31644000.0,-25016000.0,-7788000.0
NetIncomeIncludingNoncontrollingInterests,-31644000.0,-25016000.0,-7788000.0
NetIncomeContinuousOperations,-31644000.0,-25016000.0,-7788000.0
TaxProvision,326000.0,272000.0,764000.0
PretaxIncome,-31318000.0,-24744000.0,-7024000.0
OtherIncomeExpense,-453000.0,-163000.0,-1658000.0
OtherNonOperatingIncomeExpenses,-453000.0,-163000.0,-1658000.0
SpecialIncomeCharges,0.0,,0.0
OtherSpecialCharges,,,0.0
NetNonOperatingInterestIncomeExpense,-1336000.0,-1012000.0,170000.0
TotalOtherFinanceCost,557000.0,552000.0,438000.0
InterestExpenseNonOperating,2958000.0,2939000.0,1992000.0
InterestIncomeNonOperating,2179000.0,2479000.0,
OperatingIncome,-29529000.0,-23569000.0,-5536000.0
OperatingExpense,57583000.0,48496000.0,44285000.0
ResearchAndDevelopment,5784000.0,6468000.0,5408000.0
SellingGeneralAndAdministration,51799000.0,42028000.0,38877000.0
SellingAndMarketingExpense,33271000.0,29512000.0,28514000.0
GeneralAndAdministrativeExpense,18528000.0,12516000.0,10363000.0
OtherGandA,18528000.0,12516000.0,10363000.0
GrossProfit,28054000.0,24927000.0,38749000.0
CostOfRevenue,33164000.0,30066000.0,28604000.0
TotalRevenue,61218000.0,54993000.0,67353000.0
OperatingRevenue,61218000.0,54993000.0,67353000.0
