,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-4081247.721322,
TaxRateForCalcs,0.291497,
NormalizedEBITDA,1991808000.0,
TotalUnusualItems,-14001000.0,
TotalUnusualItemsExcludingGoodwill,-14001000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,1079031000.0,
ReconciledDepreciation,152288000.0,
ReconciledCostOfRevenue,1135627000.0,
EBITDA,1977807000.0,
EBIT,1825519000.0,
NetInterestIncome,-214577000.0,
InterestExpense,301609000.0,
InterestIncome,87032000.0,
NormalizedIncome,1088950752.278678,
NetIncomeFromContinuingAndDiscontinuedOperation,1079031000.0,
TotalExpenses,1467181000.0,
TotalOperatingIncomeAsReported,1752488000.0,
DilutedAverageShares,48271178.0,48271178.0
BasicAverageShares,48271178.0,48271178.0
DilutedEPS,22.32,23.44
BasicEPS,22.32,23.44
DilutedNIAvailtoComStockholders,1079031000.0,
NetIncomeCommonStockholders,1079031000.0,
NetIncome,1079031000.0,
MinorityInterests,-664000.0,
NetIncomeIncludingNoncontrollingInterests,1079695000.0,
NetIncomeContinuousOperations,1079695000.0,
TaxProvision,444215000.0,
PretaxIncome,1523910000.0,
OtherIncomeExpense,-14001000.0,
OtherNonOperatingIncomeExpenses,2000.0,
GainOnSaleOfSecurity,-14001000.0,
NetNonOperatingInterestIncomeExpense,-214577000.0,
InterestExpenseNonOperating,301609000.0,
InterestIncomeNonOperating,87032000.0,
OperatingIncome,1752488000.0,
OperatingExpense,331554000.0,
OtherOperatingExpenses,51516000.0,
OtherTaxes,119231000.0,
SellingGeneralAndAdministration,160807000.0,
GeneralAndAdministrativeExpense,160807000.0,
OtherGandA,160807000.0,
GrossProfit,2084042000.0,
CostOfRevenue,1135627000.0,
TotalRevenue,3219669000.0,
OperatingRevenue,3219669000.0,
