,2022-10-31
TaxEffectOfUnusualItems,-8225160.0
TaxRateForCalcs,0.015
NormalizedEBITDA,15618000.0
TotalUnusualItems,-548344000.0
TotalUnusualItemsExcludingGoodwill,-548344000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-583314000.0
ReconciledDepreciation,44864000.0
ReconciledCostOfRevenue,35229000.0
EBITDA,-532726000.0
EBIT,-577590000.0
NetInterestIncome,-14487000.0
InterestExpense,14556000.0
InterestIncome,69000.0
NormalizedIncome,-43195160.0
NetIncomeFromContinuingAndDiscontinuedOperation,-528343000.0
TotalExpenses,170306000.0
TotalOperatingIncomeAsReported,-608702000.0
DilutedAverageShares,164467000.0
BasicAverageShares,164467000.0
DilutedEPS,-3.21
BasicEPS,-3.21
DilutedNIAvailtoComStockholders,-528343000.0
NetIncomeCommonStockholders,-528343000.0
NetIncome,-528343000.0
NetIncomeIncludingNoncontrollingInterests,-528343000.0
NetIncomeDiscontinuousOperations,54971000.0
NetIncomeContinuousOperations,-583314000.0
TaxProvision,-8832000.0
PretaxIncome,-592146000.0
OtherIncomeExpense,-546743000.0
OtherNonOperatingIncomeExpenses,1601000.0
SpecialIncomeCharges,-577786000.0
ImpairmentOfCapitalAssets,570887000.0
RestructuringAndMergernAcquisition,6899000.0
GainOnSaleOfSecurity,29442000.0
NetNonOperatingInterestIncomeExpense,-14487000.0
InterestExpenseNonOperating,14556000.0
InterestIncomeNonOperating,69000.0
OperatingIncome,-30916000.0
OperatingExpense,133651000.0
OtherOperatingExpenses,3381000.0
OtherTaxes,556000.0
DepreciationAmortizationDepletionIncomeStatement,43438000.0
DepreciationAndAmortizationInIncomeStatement,43438000.0
Amortization,43438000.0
AmortizationOfIntangiblesIncomeStatement,43438000.0
ResearchAndDevelopment,17252000.0
SellingGeneralAndAdministration,69024000.0
SellingAndMarketingExpense,8887000.0
GeneralAndAdministrativeExpense,60137000.0
OtherGandA,14593000.0
InsuranceAndClaims,1166000.0
SalariesAndWages,44378000.0
GrossProfit,102735000.0
CostOfRevenue,36655000.0
TotalRevenue,139390000.0
OperatingRevenue,139390000.0
