,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-1243200.0,-20910000.0
TaxRateForCalcs,0.296,0.34
NormalizedEBITDA,-5800000.0,257900000.0
TotalUnusualItems,-4200000.0,-61500000.0
TotalUnusualItemsExcludingGoodwill,-4200000.0,-61500000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-70800000.0,22900000.0
ReconciledDepreciation,45700000.0,73500000.0
ReconciledCostOfRevenue,603000000.0,1610800000.0
EBITDA,-10000000.0,196400000.0
EBIT,-55700000.0,122900000.0
NetInterestIncome,-41200000.0,-2700000.0
InterestExpense,47500000.0,23500000.0
InterestIncome,27200000.0,44800000.0
NormalizedIncome,-67843200.0,63490000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-70800000.0,22900000.0
TotalExpenses,774700000.0,1828900000.0
TotalOperatingIncomeAsReported,-52100000.0,
DilutedAverageShares,177000000.0,
BasicAverageShares,177000000.0,
DilutedEPS,-0.4,
BasicEPS,-0.4,
DilutedNIAvailtoComStockholders,-70800000.0,22900000.0
NetIncomeCommonStockholders,-70800000.0,22900000.0
NetIncome,-70800000.0,22900000.0
MinorityInterests,1900000.0,-200000.0
NetIncomeIncludingNoncontrollingInterests,-72700000.0,23100000.0
NetIncomeContinuousOperations,-72700000.0,23100000.0
TaxProvision,-30500000.0,76300000.0
PretaxIncome,-103200000.0,99400000.0
OtherIncomeExpense,-4000000.0,-60600000.0
SpecialIncomeCharges,-3200000.0,
GainOnSaleOfBusiness,-3200000.0,
ImpairmentOfCapitalAssets,0.0,
RestructuringAndMergernAcquisition,0.0,
EarningsFromEquityInterest,200000.0,900000.0
GainOnSaleOfSecurity,-1000000.0,-33800000.0
NetNonOperatingInterestIncomeExpense,-41200000.0,-2700000.0
TotalOtherFinanceCost,20900000.0,
InterestExpenseNonOperating,47500000.0,23500000.0
InterestIncomeNonOperating,27200000.0,44800000.0
OperatingIncome,-58000000.0,162700000.0
OperatingExpense,171700000.0,218100000.0
OtherOperatingExpenses,12000000.0,21100000.0
OtherTaxes,9500000.0,
ResearchAndDevelopment,31800000.0,38700000.0
SellingGeneralAndAdministration,118400000.0,138600000.0
SellingAndMarketingExpense,68300000.0,80400000.0
GeneralAndAdministrativeExpense,50100000.0,58200000.0
OtherGandA,50100000.0,58200000.0
GrossProfit,113700000.0,380800000.0
CostOfRevenue,603000000.0,1610800000.0
TotalRevenue,716700000.0,1991600000.0
OperatingRevenue,716700000.0,1991600000.0
