,2023-09-30,2022-12-31
TaxEffectOfUnusualItems,-1919.258769,-68670.0
TaxRateForCalcs,0.07677,0.21
NormalizedEBITDA,30300000.0,21135000.0
TotalUnusualItems,-25000.0,-327000.0
TotalUnusualItemsExcludingGoodwill,-25000.0,-327000.0
NetIncomeFromContinuingOperationNetMinorityInterest,2764000.0,-68257000.0
ReconciledDepreciation,19200000.0,19176000.0
ReconciledCostOfRevenue,8028000.0,13240000.0
EBITDA,30275000.0,20808000.0
EBIT,11075000.0,623000.0
NetInterestIncome,-8053000.0,-68829000.0
InterestExpense,8053000.0,68829000.0
NormalizedIncome,2787080.741231,-67998670.0
NetIncomeFromContinuingAndDiscontinuedOperation,2764000.0,-68257000.0
TotalExpenses,32006000.0,55461000.0
DilutedAverageShares,14261721.0,
BasicAverageShares,14261721.0,
DilutedEPS,0.193806,
BasicEPS,0.193806,
DilutedNIAvailtoComStockholders,2764000.0,-68257000.0
NetIncomeCommonStockholders,2764000.0,-68257000.0
NetIncome,2764000.0,-68257000.0
MinorityInterests,-26000.0,-5000.0
NetIncomeIncludingNoncontrollingInterests,2790000.0,-68252000.0
NetIncomeContinuousOperations,2790000.0,-68252000.0
TaxProvision,232000.0,46000.0
PretaxIncome,3022000.0,-68206000.0
OtherIncomeExpense,-25000.0,-327000.0
SpecialIncomeCharges,-25000.0,-327000.0
OtherSpecialCharges,25000.0,327000.0
NetNonOperatingInterestIncomeExpense,-8053000.0,-68829000.0
InterestExpenseNonOperating,8053000.0,68829000.0
OperatingIncome,11100000.0,950000.0
OperatingExpense,22563000.0,43230000.0
DepreciationAmortizationDepletionIncomeStatement,17785000.0,20185000.0
DepreciationAndAmortizationInIncomeStatement,17785000.0,20185000.0
SellingGeneralAndAdministration,4778000.0,23045000.0
SellingAndMarketingExpense,1343000.0,15757000.0
GeneralAndAdministrativeExpense,3435000.0,7288000.0
OtherGandA,3435000.0,7288000.0
GrossProfit,33663000.0,44180000.0
CostOfRevenue,9443000.0,12231000.0
TotalRevenue,43106000.0,56411000.0
OperatingRevenue,43106000.0,56411000.0
