,2023-06-30,2022-12-31
TaxEffectOfUnusualItems,0.0,-4078740.15748
TaxRateForCalcs,0.265985,0.226597
TotalUnusualItems,-32000000.0,-18000000.0
TotalUnusualItemsExcludingGoodwill,-32000000.0,-18000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-283000000.0,-873000000.0
ReconciledDepreciation,,339000000.0
EBIT,-285000000.0,-1111000000.0
NetInterestIncome,0.0,-32000000.0
InterestExpense,106000000.0,32000000.0
InterestIncome,921000000.0,-45000000.0
NormalizedIncome,-283000000.0,-859078740.15748
NetIncomeFromContinuingAndDiscontinuedOperation,67000000.0,-1252000000.0
TotalExpenses,6487000000.0,21703000000.0
DilutedAverageShares,2233333333.0,
BasicAverageShares,2233333333.0,
DilutedEPS,0.03,
BasicEPS,0.03,
DilutedNIAvailtoComStockholders,67000000.0,-1269000000.0
NetIncomeCommonStockholders,67000000.0,-1269000000.0
OtherunderPreferredStockDividend,,17000000.0
NetIncome,67000000.0,-1252000000.0
MinorityInterests,3000000.0,10000000.0
NetIncomeIncludingNoncontrollingInterests,64000000.0,-1263000000.0
NetIncomeDiscontinuousOperations,350000000.0,
NetIncomeContinuousOperations,-287000000.0,-884000000.0
TaxProvision,-104000000.0,-259000000.0
PretaxIncome,-391000000.0,-1143000000.0
OtherIncomeExpense,,-50000000.0
SpecialIncomeCharges,-32000000.0,-18000000.0
WriteOff,32000000.0,18000000.0
NetNonOperatingInterestIncomeExpense,0.0,-32000000.0
InterestExpenseNonOperating,106000000.0,32000000.0
OtherOperatingExpenses,977000000.0,544000000.0
DepreciationAndAmortizationInIncomeStatement,,-712000000.0
Amortization,,-712000000.0
SellingGeneralAndAdministration,,256000000.0
GeneralAndAdministrativeExpense,,256000000.0
OtherGandA,,122000000.0
SalariesAndWages,,134000000.0
TotalRevenue,6097000000.0,20558000000.0
OperatingRevenue,6097000000.0,20558000000.0
