,2023-09-30,2023-06-30,2023-03-31
TaxEffectOfUnusualItems,0.0,0.0,0.0
TaxRateForCalcs,0.0,0.0,0.0
NormalizedEBITDA,4435000.0,-83094000.0,-79561000.0
TotalUnusualItems,-80671000.0,-1040000.0,
TotalUnusualItemsExcludingGoodwill,-80671000.0,-1040000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,-81814000.0,-89961000.0,-90715000.0
ReconciledDepreciation,1124000.0,1091000.0,1080000.0
ReconciledCostOfRevenue,31768000.0,24750000.0,19570000.0
EBITDA,-76236000.0,-84134000.0,-79561000.0
EBIT,-77361000.0,-85225000.0,-80641000.0
NetInterestIncome,-4153000.0,-4312000.0,-8984000.0
InterestExpense,4397000.0,4709000.0,10099000.0
InterestIncome,244000.0,397000.0,1115000.0
NormalizedIncome,-1143000.0,-88921000.0,-90715000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-81814000.0,-89961000.0,-90715000.0
TotalExpenses,40297000.0,33324000.0,36449000.0
DilutedAverageShares,13320000.0,13320000.0,13320000.0
BasicAverageShares,13320000.0,13320000.0,13320000.0
DilutedEPS,-6.14,-6.75,-6.81
BasicEPS,-6.14,-6.75,-6.81
DilutedNIAvailtoComStockholders,-81814000.0,-89961000.0,-90715000.0
NetIncomeCommonStockholders,-81814000.0,-89961000.0,-90715000.0
NetIncome,-81814000.0,-89961000.0,-90715000.0
MinorityInterests,-56000.0,-27000.0,25000.0
NetIncomeIncludingNoncontrollingInterests,-81758000.0,-89934000.0,-90740000.0
NetIncomeContinuousOperations,-81758000.0,-89934000.0,-90740000.0
PretaxIncome,-81758000.0,-89934000.0,-90740000.0
OtherIncomeExpense,-64010000.0,-71826000.0,-58672000.0
OtherNonOperatingIncomeExpenses,16444000.0,5240000.0,2018000.0
SpecialIncomeCharges,-482000.0,-1040000.0,
OtherSpecialCharges,482000.0,1040000.0,
WriteOff,0.0,0.0,
EarningsFromEquityInterest,217000.0,-76026000.0,-60690000.0
GainOnSaleOfSecurity,-80189000.0,,
NetNonOperatingInterestIncomeExpense,-4153000.0,-4312000.0,-8984000.0
InterestExpenseNonOperating,4397000.0,4709000.0,10099000.0
InterestIncomeNonOperating,244000.0,397000.0,1115000.0
OperatingIncome,-13595000.0,-13796000.0,-23084000.0
OperatingExpense,8530000.0,8573000.0,16879000.0
OtherOperatingExpenses,95000.0,-69000.0,1701000.0
DepreciationAmortizationDepletionIncomeStatement,1125000.0,1090000.0,1080000.0
DepreciationAndAmortizationInIncomeStatement,1125000.0,1090000.0,1080000.0
SellingGeneralAndAdministration,7310000.0,7552000.0,14098000.0
GeneralAndAdministrativeExpense,7310000.0,7552000.0,14098000.0
OtherGandA,7310000.0,7552000.0,14098000.0
GrossProfit,-5065000.0,-5223000.0,-6205000.0
CostOfRevenue,31767000.0,24751000.0,19570000.0
TotalRevenue,26702000.0,19528000.0,13365000.0
OperatingRevenue,26702000.0,19528000.0,13365000.0
