adjusted_date,headline,summary
2022-01-17 05:00:00+00:00,"Why Wells Fargo, Bank Of America And Robinhood Markets Shares Are Falling Today Earnings Preview For Bank of America In The Spotlight   Big Wall Street Banks As The Main Power In SP500","Shares of companies in the broader financial services sector, including Wells Fargo &amp  Co  NYSE  WFC , Bank of America Corp  NYSE  BAC  and  Bank of America  NYSE BAC  is set to give its latest quarterly earnings report on Wednesday, 2022 01 19. Here& 39 s what investors need to know before the announcement.  Analysts estimate that Bank of America will likely report an Earnings Per Share  EPS  of  0.76.  Stock investors are braced for what could be another volatile week as the Q4 earnings season heats up.    Banks  earnings"
2022-01-18 05:00:00+00:00,"Mid Afternoon Market Update  Dow Tumbles 150 Points  Yumanity Therapeutics Shares Plunge Mid Day Market Update  US Stocks Turn Negative  Zogenix Shares Spike Higher Earnings Scheduled For January 19, 2022 Bank Of America Block Trade Of 5.2M Shares At Price Of  47.10 Share, Total Trade Size Of  245M Mid Morning Market Update  Markets Rise  Bank of America Posts Upbeat Profit","Toward the end of trading Wednesday, the Dow traded down 0.45  to 35,210.04 while the NASDAQ fell 0.28  to 14,466.47. The S&amp P also fell, dropping, 0.29  to 4,563.94.     Midway through trading Wednesday, the Dow traded down 0.13  to 35,321.51 while the NASDAQ fell 0.53  to 14,430.41. The S&amp P also fell, dropping, 0.19  to 4,568.33.          Companies Reporting Before The Bell      Community Trust Bancorp  NASDAQ CTBI  is likely to report quarterly earnings at  1.06 per share on revenue of  55.05 million. nan Following the market opening Wednesday, the Dow traded up 0.12  to 35,411.14 while the NASDAQ rose 0.90  to 14,638.13. The S&amp P also rose, gaining, 0.44  to 4,597.47.    "
2022-01-19 05:00:00+00:00,"Where Bank of America Stands With Analysts CNBC Final Trades  Starbucks, Abbott Labs, Bank Of America, Carlyle Group  1000 Invested In This Stock 10 Years Ago, Would Be Worth This Much  BAC    Analyzing Bank of America Corporation's Short Interest Why Bank of America Shares Are Rising Today If You Invested  1,000 In Bank of America Stock One Year Ago, Here's How Much You'd Have Now Recap  Bank of America Q4 Earnings Bank of America Q4 EPS  0.82 Beats  0.76 Estimate U.S. Equity Futures Higher Ahead of More Big Bank Earnings Reports A Peek Into The Markets  US Stock Futures Edge Higher  Morgan Stanley, Bank of America Earnings In Focus 5 Stocks To Watch For January 19, 2022","Within the last quarter, Bank of America  NYSE BAC  has observed the following analyst ratings   nan Bank of America  NYSE BAC  has outperformed the market over the past 10 years by 7.19  on an annualized basis.  Bank of America Corporation& 39 s  NYSE BAC  short percent of float has fallen 15.04  since last its last report. The company recently reported that it has 78.74 million shares sold short, which is 0.96  of all regular shares that are available for trading. Bank Of America Corp  NYSE  BAC  is trading higher Wednesday morning after the company announced better than expected fourth quarter earnings results. Investors who have owned stocks in 2021 have generally experienced some big gains. In fact, the SPDR S&amp P 500 ETF Trust  NYSE  SPY  total return over the last 12 months is 23.3 . But there is no question some big name stocks performed better than others along the way.      Bank of America  NYSE BAC  reported its Q4 earnings results on Wednesday, January 19, 2022 at 06 45 AM.    Here& 39 s what investors need to know about the announcement. nan nan Pre open movers Some of the stocks that may grab investor focus today are   	Wall Street expects  Bank of America Corporation   NYSE  BAC  to report quarterly earnings at  0.76 per share on revenue of  22.23 billion before the opening bell. Bank of America shares slipped 0.2  to  46.18 in pre market trading.  "
2022-01-20 05:00:00+00:00,"Morgan Stanley Maintains Underweight on Bank of America, Raises Price Target to  51",nan
2022-01-21 05:00:00+00:00,"CNBC's Final Trades  Abbott Laboratories, Starbucks, Bank of America And This Financial Services Stock","On CNBC s  Halftime Report Final Trades,  Brenda Vingiello of Sand Hill Global Advisors named Abbott Laboratories  NYSE  ABT  as her pick."
2022-01-25 05:00:00+00:00,What Are Whales Doing With Bank of America,Someone with a lot of money to spend has taken a bullish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
2022-01-28 05:00:00+00:00,Goldman Sachs Now Expects 5 Rate Hikes From The Fed In 2022 Back To The Basics? Warren Buffett Overtakes Mark Zuckerberg In Wealth Again As Value Bets Shine Over The Growth Story,"Goldman Sachs Group Inc s  NYSE  GS  economists led by Jan Hatzius have predicted that the Federal Reserve will raise interest rates by 25 basis points five times this year, rather Veteran value investor and Berkshire Hathaway Inc  NYSE  BRK A  NYSE  BRK B  CEO Warren Buffett s net worth on Thursday shot past that of Meta Platforms Inc  NASDAQ  "
2022-01-31 05:00:00+00:00,Check Out What Whales Are Doing With BAC Bank of America And 4 Other Stocks Sold By Insiders,"Someone with a lot of money to spend has taken a bearish stance on Bank of America  NYSE BAC .  And retail traders should know.  We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Canada s industrial product price rose 0.7  in December following a revised 0.1  increase in the previous month. Investors, meanwhile, focused on some notable insider trades."
2022-02-01 05:00:00+00:00,This Is What Whales Are Betting On Bank of America,A whale with a lot of money to spend has taken a noticeably bullish stance on Bank of America.  Looking at options history for Bank of America  NYSE BAC  we detected 33 strange trades.
2022-02-02 05:00:00+00:00,10 Financials Stocks Whale Activity In Today's Session Game Changer? Solana Pay To Usher In 'New Era' Of Crypto Payments,"     This whale alert can help traders discover the next big trading opportunities.    Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. Solana Labs, the entity behind high speed blockchain Solana  CRYPTO  SOL , has launched a new payments protocol that will let merchants accept crypto payments directly from consumers."
